"landuse,C,80","name,C,80","golf,C,80","addr_city,C,80","ele,C,80","email,C,80","gauge,C,80","leisure,C,80","natural,C,80","website,C,80"
cemetery,Ames Municipal Cemetery,,,281,,,,,
cemetery,College Cemetery,,,,,,,,
cemetery,Cory Family Cemetery,,,,,,,,
cemetery,Memorial Gardens Cemetery,,,,,,,,
commercial,Iowa Department of Transportation,,,,,,,,
commercial,Iowa State University Research Park,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
commercial,,,,,,,,,
construction,New Delta Tau Delta House,,,,,,,,
construction,New Sigma Chi House,,,,,,,,
farmland,,,,,,,,,
farmland,,,,,,,,,
farmland,,,,,,,,,
farmland,,,,,,,,,
farmland,,,,,,,,,
farmland,,,,,,,,,
grass,10th,fairway,,,,,,,
grass,10th,fairway,,,,,,,
grass,11th,fairway,,,,,,,
grass,11th,fairway,,,,,,,
grass,12th,fairway,,,,,,,
grass,12th,fairway,,,,,,,
grass,13th,fairway,,,,,,,
grass,13th,fairway,,,,,,,
grass,14th,fairway,,,,,,,
grass,14th,fairway,,,,,,,
grass,15th,fairway,,,,,,,
grass,15th,fairway,,,,,,,
grass,15th,fairway,,,,,,,
grass,16th,fairway,,,,,,,
grass,16th,fairway,,,,,,,
grass,16th,fairway,,,,,,,
grass,17th,fairway,,,,,,,
grass,17th,fairway,,,,,,,
grass,18th,fairway,,,,,,,
grass,18th,fairway,,,,,,,
grass,1st,fairway,,,,,,,
grass,1st,fairway,,,,,,,
grass,2nd,fairway,,,,,,,
grass,2nd,fairway,,,,,,,
grass,2nd,fairway,,,,,,,
grass,3rd,fairway,,,,,,,
grass,3rd,fairway,,,,,,,
grass,4th,fairway,,,,,,,
grass,4th,fairway,,,,,,,
grass,5th,fairway,,,,,,,
grass,5th,fairway,,,,,,,
grass,5th,fairway,,,,,,,
grass,6th,fairway,,,,,,,
grass,6th,fairway,,,,,,,
grass,7th,fairway,,,,,,,
grass,7th,fairway,,,,,,,
grass,7th,fairway,,,,,,,
grass,7th,fairway,,,,,,,
grass,8th,fairway,,,,,,,
grass,8th,fairway,,,,,,,
grass,9th,fairway,,,,,,,
grass,9th,fairway,,,,,,,
grass,,fairway,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,tee,,,,,,,
grass,,,,,,tee,,,
grass,,,,,,tee,,,
grass,,,,,,tee,,,
grass,,,,,,tee,,,
grass,,,,,,tee,,,
grass,,,,,,,,,
recreation_ground,Central Campus,,,,,,,,
recreation_ground,Pammel Woods,,,,,,,wood,
recreation_ground,,,,,,,park,,
reservoir,,,,,,,,,
reservoir,,,,,,,,,
reservoir,,,,,,,,,
reservoir,,,,,,,,,
residential,Copper Beech Townhomes,,"Ames,Iowa",,,,,,
